Tracker,Video,Average IoU,STD IoU,Average FPS,STD FPS,N Failures
CSRT,video000,0.5847833490250183,0.15417973231932325,7.368019197069127,0.6583262067716689,0
CSRT,video001,0.6160955146383686,0.10969013644975026,7.664026671426505,1.2642184736710844,0
CSRT,video0010,0.3995362570730763,0.2125691974083744,7.618657373591099,0.5317464369970998,0
CSRT,video00100,0.7101512286149088,0.11545822299732628,5.272520113106743,1.1319274667603643,0
CSRT,video00101,0.38004103392751937,0.22058680359097768,9.991807938488115,0.8772935311401294,0
CSRT,video00102,0.09662072334374237,0.26128273139308705,205.4094715981825,71.91990366432859,337
CSRT,video00103,0.5984664612713407,0.14064579240725944,25.91239966705921,3.3914588752883366,0
CSRT,video00104,0.7672517898962828,0.05775479045856383,8.47709287959516,3.732733993189779,0
CSRT,video00105,0.4874700257171966,0.21118124903214708,2.9726774104466633,0.38650120361925633,0
CSRT,video00106,0.46558756946763397,0.2658280127126443,37.080225886757546,2.7114989504416624,0
CSRT,video00107,0.2838284779433099,0.18505922092225208,10.886497185340653,2.6266918137251465,0
CSRT,video00108,0.3867188951281144,0.17514783059078115,3.792560002362792,0.33695666302967375,0
CSRT,video00109,0.3384648745926081,0.22830538232209754,3.383552937131085,1.1319142303771066,0
CSRT,video0011,0.713250585119829,0.0855651245828323,4.139592933178914,0.21203671287517098,0
CSRT,video00110,0.6751585875166052,0.2257093105505043,25.419428345696186,2.515860039408019,0
CSRT,video00111,0.7134115648408368,0.12072094834008108,2.5971911746219583,0.9027930584693394,0
CSRT,video00112,0.9104569770562666,0.05678925892964176,13.279995929754016,2.878872102285172,0
CSRT,video00113,0.6954429812449632,0.025767959454136537,4.4321658334437375,0.8015425800045406,0
CSRT,video00114,0.698595552465631,0.22557888321996353,13.238765321912041,0.926001078581412,0
CSRT,video00115,0.8072098007052814,0.039539465260293345,5.126393526759845,0.22358299152851155,0
CSRT,video00116,0.8076686038501224,0.03219846425945742,11.240338319924053,0.45518796646619464,0
CSRT,video00117,0.5506702586181187,0.14066563673712545,7.846413545101626,1.3094229505072557,0
CSRT,video00118,0.4929962353071819,0.19368069757815984,15.935722796824333,5.411799464864201,0
CSRT,video00119,0.5084802639187105,0.14668092589025777,8.25650726899688,1.0472519286802506,0
CSRT,video0012,0.5417085860553806,0.20369471160118283,32.53725352059842,5.228192167462914,0
CSRT,video00120,0.30278847166001577,0.24427657218342552,3.1890780146584916,0.6283097254669531,0
CSRT,video00121,0.7261631657694847,0.13800523927905045,2.906277262488673,1.1268210810226873,0
CSRT,video00122,0.7102349898524764,0.10444925933786,6.512396815255943,0.5568077237928689,0
CSRT,video00123,0.7225938001664853,0.2051847359496329,10.539124302650794,3.7568429508947996,0
CSRT,video00124,0.6923900811702214,0.20859375198714777,21.271622331292768,3.6638172151824286,0
CSRT,video00125,0.7464320051279277,0.06488353449082766,13.659374026904372,1.1690288104418416,0
CSRT,video00126,0.2249243827682022,0.16330947983336905,7.971385641818028,0.5966271054293681,0
CSRT,video00127,0.6301037578193457,0.12667317039548776,23.257136207159153,2.5223320135509986,0
CSRT,video00128,0.30443971543072484,0.2826333022997078,14.13168508847979,2.5997633340726076,0
CSRT,video00129,0.6114235859881735,0.1284924251715335,26.676124680798946,3.2347018072776375,0
CSRT,video0013,0.63145729623604,0.2732663184780009,31.726849770677536,13.63082349114379,1
CSRT,video00130,0.09278020773593995,0.19831981012402358,87.53005633997581,67.1727685231806,45
CSRT,video00131,0.0611436483805089,0.11589945570664204,22.67955344413123,13.9101591641065,1
CSRT,video00132,0.4964272659217801,0.25280996984470683,29.89133715539067,1.8469239173862464,0
CSRT,video00133,0.6731728521040564,0.0919709713073245,17.75646206163112,2.4517435653212196,0
CSRT,video00134,0.5764973489153258,0.32762297980801425,54.172771648289874,5.641932995024131,0
CSRT,video00135,0.7988943506079597,0.04942674364699814,11.076638567209505,1.0138446746457972,0
CSRT,video00136,0.5425650600841341,0.12968364287151526,34.62248394484518,1.9999270177576736,0
CSRT,video00137,0.030274124913211162,0.1423418760280796,30.778261730850954,1.5158271005502812,0
CSRT,video00138,0.5285191347537335,0.10808617514665969,3.027854858164946,0.4164916618081116,0
CSRT,video00139,0.46202267087539023,0.33968295080693317,4.0891016114128,1.0871379192020192,0
CSRT,video0014,0.6051473482608243,0.1100749770736486,27.563398723268026,3.46818376646012,0
CSRT,video00140,0.41234555543182605,0.38916538763766356,63.111572227519126,66.7903461016304,24
