Tracker,Video,Average IoU,STD IoU,Average FPS,STD FPS,N Failures
GOTURN,video000,0.367840797761754,0.2366082011873226,16.699791597810165,1.8856933987442575,0
GOTURN,video001,0.20921522376529356,0.11075704857967385,20.440938504241963,2.2994682460881752,0
GOTURN,video0010,0.26705069569972717,0.23075438806732565,13.551767385914752,2.323819452412724,0
GOTURN,video00100,0.22092149457877458,0.2916108553571907,16.147582372229664,1.9481150525856297,0
GOTURN,video00101,0.29915493937636595,0.2552821417584357,18.150694196385235,1.5473260348084108,0
GOTURN,video00102,0.02370857964819001,0.06753179798796652,12.914741253312547,2.547238661836291,0
GOTURN,video00103,0.34562721685629544,0.16019787887052198,20.07168334882851,1.9042175879497343,0
GOTURN,video00104,0.5984890924162303,0.08194971164933562,16.300927384089096,2.0529531516414403,0
GOTURN,video00105,0.4875791299719367,0.1861886859979543,12.494551929484164,0.9912086009386675,0
GOTURN,video00106,0.6437524798810831,0.07101395670911313,23.689307410868864,2.0675851390653017,0
GOTURN,video00107,0.08567929176730044,0.1377346623677756,19.917483968864946,2.016383241325544,0
GOTURN,video00108,0.35733907075477706,0.21499943691229975,15.423205879250208,2.1701451672002228,0
GOTURN,video00109,0.37608741836157983,0.1412418164938512,15.771036952197505,2.9041041439581035,0
GOTURN,video0011,0.5104161922894411,0.07595219944954403,17.2351274164956,1.5529042102913944,0
GOTURN,video00110,0.045791519975297644,0.08536568206257227,22.01409036561444,2.031361488403549,0
GOTURN,video00111,0.18639772999512763,0.13719919105181133,17.86828228567504,1.6521375375496832,0
GOTURN,video00112,0.013922131470198308,0.06911003218700809,17.300186619651676,1.4501474863888126,0
GOTURN,video00113,0.02386471385024952,0.06777521917754036,19.645811561447946,3.147713715769147,0
GOTURN,video00114,0.06148003650302294,0.0876662255169608,11.908735426345437,1.1186767666878685,0
GOTURN,video00115,0.23413282281178646,0.13989440697710911,17.547570000487067,1.3773902283279942,0
GOTURN,video00116,0.30871923189589856,0.03200922810325136,18.952728818547392,1.7087327576913012,0
GOTURN,video00117,0.32188116672012046,0.0370587788111609,20.16507831770501,1.9826147536829486,0
GOTURN,video00118,0.16475475029970396,0.12276236608997365,21.117419005419375,1.4091445311760056,0
GOTURN,video00119,0.14919252491484553,0.19500576077442572,13.484638492072367,1.58904409122618,0
GOTURN,video0012,0.3519215042410279,0.2712823973493689,23.15458173841102,1.89465412707289,0
GOTURN,video00120,0.16084923756069927,0.18224562875715214,17.00985047645675,3.697900972074163,0
GOTURN,video00121,0.03574927405387876,0.09336895830237357,16.827863231861667,2.1333421091544893,0
GOTURN,video00122,0.2968738005783974,0.09923875733085358,16.41388257278277,1.2388681720493726,0
GOTURN,video00123,0.6415180750247541,0.12229206819365489,15.64422684221129,2.3219593352656416,0
GOTURN,video00124,0.07691209574062222,0.06889948760945,22.658677451255258,2.639718847515182,0
GOTURN,video00125,0.12862784759331802,0.15697743869742886,12.917546357181921,2.4496780285811104,0
GOTURN,video00126,0.5410444309941126,0.12793229511501486,12.358737953304683,1.0197631565072096,0
GOTURN,video00127,0.014829055854404177,0.0651181228548333,18.635854556963764,2.336736384218008,0
GOTURN,video00128,0.04266661352190056,0.11810720294908747,17.18660705879617,1.4347030515701789,0
GOTURN,video00129,0.11731886431547635,0.21891519103244914,17.064960809022274,3.1322935023175758,0
GOTURN,video0013,0.11613263141007034,0.15883698000824098,21.97441484486634,1.8599029605703499,0
GOTURN,video00130,0.2734030492081639,0.20440815897686226,18.721327190454286,1.8191969260594938,0
GOTURN,video00131,0.14504342243977145,0.11316091414059673,16.863191667672673,1.4333664026177984,0
GOTURN,video00132,0.04219525995141672,0.06613349357627137,20.432675756269692,1.935877518708303,0
GOTURN,video00133,0.4620833516617762,0.11220884157054657,22.69858824494784,1.7173813817556447,0
GOTURN,video00134,0.07713682422664586,0.14503891268688238,21.20766767812526,3.073027548680401,0
GOTURN,video00135,0.7716220003525618,0.09728782355593518,17.386148980319962,1.8053881155651603,0
GOTURN,video00136,0.09907402220332714,0.16419670195568395,20.938358820527917,2.8681176165830995,0
GOTURN,video00137,0.09780372456168,0.1235694572362326,20.76126338621047,1.9603725982754239,0
GOTURN,video00138,0.28053192276986255,0.1824128528519144,16.81746299968141,2.358773051991663,0
GOTURN,video00139,0.32661826781666237,0.2858511945548696,16.109712286132112,2.0909808403785313,0
GOTURN,video0014,0.3279570632044974,0.10147702627635945,22.442222554144706,3.037905693729784,0
GOTURN,video00140,0.1913127421986128,0.22519725661252174,19.70673079631625,2.9165622440352927,0
GOTURN,video00141,0.21993088654557047,0.10410126340029414,13.80833416094242,1.8573019119687724,0
GOTURN,video00142,0.454136591698686,0.12911977325010487,15.34828420701957,2.188606247117356,0
GOTURN,video00143,0.07727098965802293,0.10222105886138716,13.352861303687458,2.548309622285807,0
GOTURN,video00144,0.3477492949529015,0.17679496066428557,21.597875955314926,3.0251895487273788,0
GOTURN,video00145,0.5999608734851842,0.2049623108392002,18.396983151198008,1.5286739178351147,0
GOTURN,video00146,0.11307755655982006,0.18460433246698071,16.145429035361623,2.683736678025406,0
GOTURN,video00147,0.19281237160842618,0.2179607863883378,18.117415934516856,1.7997074237399542,0
