Tracker,Video,Average IoU,STD IoU,Average FPS,STD FPS,N Failures
MOSSE,video000,0.5868362032717703,0.17849118662262722,79.22301227161952,7.823066034221011,0
MOSSE,video00100,0.7558917311462828,0.11275476496090436,53.84918573709058,2.8311624180581614,0
MOSSE,video00104,0.44938431542566604,0.2644589221191714,190.62079676821057,33.203240669112795,0
MOSSE,video00108,0.4237470943861433,0.2423106265077613,23.9223351165599,1.0696611935671023,0
MOSSE,video00112,0.5205152933243682,0.20192347170516087,114.55927692628433,34.52496401676886,9
MOSSE,video00116,0.9396442824004677,0.0183948121286462,118.01160717595155,13.564182852810188,0
MOSSE,video0012,0.03646698920407579,0.10747163593904621,1854.8070241576906,675.6043366634757,68
MOSSE,video00120,0.2869257864797563,0.1971944553620016,16.13387750037922,0.6926324243294772,0
MOSSE,video00124,0.6571198728781573,0.24586273714179063,212.09754968366042,79.12948226616743,0
MOSSE,video00128,0.0,0.0,1123.4838606558003,125.64959736646989,100
MOSSE,video00132,0.5337293638230998,0.24682191308709153,3063.0051513979943,511.1130103569207,0
MOSSE,video00136,0.0,0.0,2982.1422258848443,867.7965447577006,250
MOSSE,video00140,0.0,0.0,3919.6868272250167,632.6589435101902,120
MOSSE,video00144,0.637032203785148,0.16582480814385367,772.1025637665244,306.1020422960937,0
MOSSE,video00148,0.0,0.0,997.9111007643007,164.83720121442627,79
MOSSE,video00152,0.27229689238799243,0.15529197215409318,20.711644213526974,3.315099262078802,1
MOSSE,video00156,0.13964867856500884,0.23097239711433762,830.4223238390216,304.58035024932786,6
MOSSE,video0016,0.12114196173824329,0.24016512433142406,87.67719768339059,22.85230226007257,2
MOSSE,video00160,0.0,0.0,435.36798765526754,67.51074490784046,79
MOSSE,video00164,0.13977187734865026,0.17475761657087627,75.66916827592044,35.78607149395383,52
MOSSE,video00168,0.0,0.0,132.84379403342626,12.99997461762538,90
MOSSE,video00172,0.7018972675194167,0.18598718695835423,382.16959754477506,41.509405700650035,0
MOSSE,video00176,0.16188282930636777,0.2838887397598554,491.49984776286453,191.69785682949447,16
MOSSE,video0020,0.0,0.0,4874.06912505262,1510.7702662207926,109
MOSSE,video0024,0.23452778644692412,0.22165849107688024,658.3434577933185,235.23068010850463,0
MOSSE,video0028,0.6105045767018118,0.15208363369952144,89.28339890862324,10.637413961304944,0
MOSSE,video0032,0.07783491861059524,0.15325773739207624,1675.4879822795017,556.3726759866781,66
MOSSE,video0036,0.4713688675992625,0.22862386507225452,157.66551971575126,86.3752346996179,11
MOSSE,video004,0.5423759819873224,0.2669169760057417,98.62078298273623,7.867635031566262,0
MOSSE,video0040,0.5355897639072588,0.14334642632966904,21.530984778863434,1.1348598102152807,0
MOSSE,video0044,0.6225599345746067,0.15540368596734244,495.6161976002388,94.603338395284,0
MOSSE,video0048,0.5811953596326476,0.10734706969007832,103.24841402554667,8.827574535099664,0
MOSSE,video0052,0.07714116884007581,0.16390693526659975,100.96940818067254,30.255464099957603,3
MOSSE,video0056,0.0,0.0,3571.636372148469,460.10232426494343,63
MOSSE,video0060,0.22082581987711755,0.309671606150221,2939.2568340058397,952.7847723291234,51
MOSSE,video0064,0.5545724299015704,0.3320130466779765,19.296019331968488,8.465483890903757,19
MOSSE,video0068,0.6187303655044932,0.26623601566796135,559.2527581837123,91.85616907908694,0
MOSSE,video0072,0.059682641521687146,0.22390441191890986,1203.2786351063476,389.00440140810025,84
MOSSE,video0076,0.12612591486000196,0.21781033813520398,317.0357034105171,136.84894182580675,21
MOSSE,video008,0.5074745031770267,0.2137624954771252,84.86717440792883,8.90422558771533,0
MOSSE,video0080,0.0,0.0,92.06812360500004,4.918300167562812,109
MOSSE,video0084,0.0,0.0,954.6627780789066,81.75006914813437,99
MOSSE,video0088,0.0,0.0,414.31844394946717,50.065842141635414,110
MOSSE,video0092,0.0,0.0,115.66686178188101,12.144671538870618,80
MOSSE,video0096,0.9517643583990087,0.021987763237900228,882.9500233832742,131.27178688038668,0
