Tracker,Video,Average IoU,STD IoU,Average FPS,STD FPS,N Failures
MIL,video000,0.5644882041905609,0.16877851271771968,15.29223937394236,2.808918640791803,0
MIL,video001,0.7975177701155577,0.08043823656043128,13.92876609676613,1.506550657652856,0
MIL,video0010,0.3226313429815385,0.23562497665711435,14.456422959299765,2.5839040500384165,0
MIL,video00100,0.5685507862755391,0.054764165831381044,14.327890206068412,2.344381878945642,0
MIL,video00101,0.5096530278044918,0.16021567682844465,18.678145574080947,2.286554200808675,0
MIL,video00102,0.1038271577433726,0.18760326638549102,14.975933184378404,2.099780592851743,0
MIL,video00103,0.026780109874123655,0.11531378290593486,16.64017994152811,1.296214952868079,0
MIL,video00104,0.42671111808995343,0.2510984494390673,12.097896941922345,1.5861933035882492,0
MIL,video00105,0.594105890303327,0.20373938643954265,16.30609357718822,4.928727534340809,0
MIL,video00106,0.5100694268034918,0.2955541158320863,16.678619410956436,2.1676861045810067,0
MIL,video00107,0.12706808799405567,0.16878339279538115,21.679012593770167,6.068838015865935,0
MIL,video00108,0.4686854419502307,0.18591714792076772,14.83550169437368,1.9856939849764628,0
MIL,video00109,0.30672969396057936,0.2085947826232454,15.363015601497,2.9749571855174453,0
MIL,video0011,0.5144270936840979,0.1226320496699223,19.494619095801735,3.7301061652507568,0
MIL,video00110,0.6301073126548599,0.2707936225073533,14.025936636328833,1.7215503801012724,0
MIL,video00111,0.3030972788019429,0.1549832488365525,12.028101017140425,1.1366054319121224,0
MIL,video00112,0.6079682569841769,0.17792928904431507,11.886324060743334,0.9403687008833569,0
MIL,video00113,0.7466152768400767,0.14040398179653468,11.604400726453575,0.8894239997280293,0
MIL,video00114,0.24155309305885955,0.3538799133663126,15.975045380683113,2.1770970406853993,0
MIL,video00115,0.6827725545702481,0.15601097052943402,11.949760509372318,1.3426089483318693,0
MIL,video00116,0.9621374676745285,0.017309649155162376,12.904143002558554,0.9887451936162313,0
MIL,video00117,0.3168579807375041,0.19607245145914665,13.403322992748022,1.3565496371184071,0
MIL,video00118,0.2600331314961698,0.27582463169229915,12.390106623377434,0.925743232046122,0
MIL,video00119,0.440217761664725,0.18211108203895054,13.279915624158308,1.6315266885658257,0
MIL,video0012,0.04612467071940007,0.14215305616446053,19.15192573137623,5.424160939422239,0
MIL,video00120,0.38962513398176857,0.24577542186749962,16.67420691758651,2.2934407325861637,0
MIL,video00121,0.598155300945541,0.23223979672143927,12.375884426054583,1.12532285157368,0
MIL,video00122,0.5387628684117478,0.14561802648774122,13.258040921197269,1.5617736423053268,0
MIL,video00123,0.43111485620828144,0.29781248390825554,12.075007664196242,1.107887575915823,0
MIL,video00124,0.6231914640904406,0.22723459590112044,14.406447227217896,2.691821462804836,0
MIL,video00125,0.08304226853077024,0.21321562595025836,15.273558851830503,1.682161078343976,0
MIL,video00126,0.13311899819198428,0.17399302009365722,17.342433678478628,3.036968190534544,0
MIL,video00127,0.24773941044620046,0.35362703871393886,14.7792975147979,1.5893434241777573,0
MIL,video00128,0.2906606892414976,0.2702058397826218,16.6396010560388,1.8852900814236926,0
MIL,video00129,0.05248950630213102,0.1513866600912843,18.551326393172797,3.95453795816683,0
MIL,video0013,0.676752064424272,0.1813934724581143,16.091197809006463,2.9069141878326556,0
MIL,video00130,0.22729874151957316,0.15792815238203997,22.29894455105099,5.799242153658779,0
MIL,video00131,0.13286964274803,0.1183557119474157,19.728359617185983,2.491845887112186,0
MIL,video00132,0.44815212492276907,0.26356456540698214,13.639840989839808,1.5636482365928346,0
MIL,video00133,0.5146415527380472,0.13041017195513835,17.986905709747703,2.816708026623558,0
MIL,video00134,0.3336935658414651,0.3248121223318478,17.744637456740133,3.6554255396089133,0
MIL,video00135,0.09744228018058773,0.08682749241365155,18.382634095628056,2.6629335813520703,0
MIL,video00136,0.058019790597285396,0.13164285669068715,18.3079683537939,5.1203696489603505,0
MIL,video00137,0.05680301411015938,0.16258966210613768,18.16825777332955,5.251874111258951,0
MIL,video00138,0.3708737455517116,0.13496312972693067,18.032950130133703,2.0028049949606452,0
MIL,video00139,0.3198674753931127,0.3540132227861092,15.760909948554243,3.948681631539146,0
MIL,video0014,0.6593789996562499,0.14009907152764595,15.952452016931108,3.3406740665432775,0
MIL,video00140,0.4063376285105115,0.3503692668969924,17.13569302086621,3.3208177615180325,0
MIL,video00141,0.39501832035263834,0.288675243292734,15.393554103118685,1.860926980880231,0
MIL,video00142,0.6214058001310739,0.19518042727341103,15.882336194395288,2.2500449402068416,0
MIL,video00143,0.505896343847567,0.2406001257033296,16.72122551036989,1.5830345005793511,0
MIL,video00144,0.6285788812551856,0.20061011377659296,13.93004908285458,1.85879976399028,0
MIL,video00145,0.684736038931294,0.16796776746645953,14.824134220950615,1.9466231384316677,0
MIL,video00146,0.7649568226651005,0.12520248573017312,15.170119984590064,2.217903261245103,0
MIL,video00147,0.5406512032233076,0.207431207629796,18.166275690739035,2.5333196478147375,0
MIL,video00148,0.3118240202104994,0.2405944576694696,17.814668245416044,2.6133849362264634,0
MIL,video00149,0.4436725731212229,0.24054707317366403,18.83632840925625,4.573495250860714,0
MIL,video0015,0.131563832818951,0.27642793391102005,19.385755121152823,2.4785173920969825,0
MIL,video00150,0.5565569888473951,0.14717792398492502,18.753964641410604,2.7519791454605533,0
MIL,video00151,0.388039786251615,0.22811391342539905,19.318004501417196,5.727545088709257,0
MIL,video00152,0.27181335241052446,0.2181033196430724,19.196229345571638,4.227111887701473,0
MIL,video00153,0.4369622723400596,0.3355706562592918,18.796468861101513,3.162935016152207,0
MIL,video00154,0.414091741105154,0.26291627956097147,15.951692584166869,2.2424141887663698,0
MIL,video00155,0.5961084337767589,0.12247246088428196,13.905290903673528,1.704352134692649,0
MIL,video00156,0.25158124071469984,0.1806167522079626,16.424979851335365,3.7890344540527376,0
MIL,video00157,0.1979631914402224,0.1728191303782,21.30622437989973,4.6410362665874345,0
MIL,video00158,0.17719503380231882,0.20122043027618453,19.643944690614894,2.891052895244561,0
MIL,video00159,0.008970840923061163,0.022979348138816004,10.333247703610104,0.7796470936763075,0
MIL,video0016,0.3249006633557838,0.20181939284634715,16.479465632757176,1.9844547537039374,0
MIL,video00160,0.16740186278615957,0.25525193172052885,16.83945478956821,2.255205638570797,0
